epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.754,3.41224,2.84949,1.03024,0.37636,0.21429,0.20377,0.04577,2.89119,2.83882,0.93448,0.00014,0.00014,0.00014
2,222.675,2.70841,2.24961,0.93377,0.84968,0.4043,0.58591,0.21359,2.28684,2.01969,0.87925,0.0002901,0.0002901,0.0002901
3,334.834,2.60041,2.0623,0.88598,0.77458,0.39286,0.5224,0.17565,2.35794,2.13219,0.88001,0.00042964,0.00042964,0.00042964
4,446.983,2.38318,1.74711,0.88115,0.78304,0.57143,0.65995,0.26323,2.22451,1.79964,0.87011,0.00055862,0.00055862,0.00055862
5,557.012,2.32403,1.56459,0.87796,0.79451,0.64286,0.72254,0.29124,2.2811,1.60743,0.88527,0.00067704,0.00067704,0.00067704
6,662.545,2.14713,1.43736,0.86026,0.76776,0.7086,0.70809,0.28571,2.15778,1.462,0.85751,0.0007849,0.0007849,0.0007849
7,768.471,2.13675,1.37513,0.86611,0.78939,0.67857,0.67887,0.25402,2.32652,1.27467,0.86502,0.0008822,0.0008822,0.0008822
8,875.245,2.20222,1.46718,0.86964,0.78972,0.67091,0.68542,0.22451,2.44769,1.37562,0.87811,0.00096894,0.00096894,0.00096894
9,983.739,2.09176,1.2736,0.852,0.72646,0.5692,0.61351,0.20314,2.58037,1.5884,0.90235,0.00104512,0.00104512,0.00104512
10,1100.5,2.17268,1.34444,0.83617,0.76905,0.64286,0.66597,0.19149,2.75159,1.40619,0.91945,0.00111074,0.00111074,0.00111074
11,1217.17,2.0998,1.28322,0.85119,0.84325,0.76885,0.7744,0.30363,2.22191,1.35819,0.86107,0.0011658,0.0011658,0.0011658
12,1332.87,2.10615,1.29644,0.84404,0.77472,0.73724,0.68175,0.27573,2.30713,1.26964,0.86696,0.0012103,0.0012103,0.0012103
13,1446.27,1.9662,1.23744,0.84891,0.79326,0.71429,0.66242,0.25626,2.27945,1.29015,0.86661,0.001208,0.001208,0.001208
14,1557.66,2.14476,1.22152,0.83896,0.7551,0.66109,0.68247,0.2503,2.26662,1.33112,0.86616,0.001142,0.001142,0.001142
15,1666.81,2.0141,1.25809,0.85936,0.67664,0.71429,0.7142,0.30896,2.02472,1.2862,0.84984,0.001076,0.001076,0.001076
16,1773.17,1.9311,1.12184,0.8305,0.67992,0.75885,0.72429,0.29589,2.16147,1.24463,0.85967,0.00101,0.00101,0.00101
17,1878.75,2.03602,1.17677,0.8404,0.73819,0.82143,0.74263,0.29977,2.16458,1.21698,0.85833,0.000944,0.000944,0.000944
18,1984.96,1.89004,0.98399,0.84488,0.73358,0.78674,0.74681,0.30984,2.15142,1.20301,0.85582,0.000878,0.000878,0.000878
19,2091.25,1.98008,1.15099,0.8468,0.77624,0.75,0.74482,0.31602,2.1344,1.17104,0.85167,0.000812,0.000812,0.000812
20,2198.54,2.0006,1.10466,0.82408,0.8098,0.78571,0.78473,0.32377,2.12808,1.15157,0.84957,0.000746,0.000746,0.000746
21,2304.19,1.94481,1.17386,0.85985,0.87432,0.74555,0.8237,0.32317,2.10776,1.17996,0.8493,0.00068,0.00068,0.00068
22,2409.5,1.98186,1.05204,0.87048,0.79208,0.81649,0.78089,0.26971,2.28504,1.29585,0.87854,0.000614,0.000614,0.000614
23,2513.5,1.81839,1.08027,0.85736,0.6383,0.71429,0.69425,0.30361,2.17725,1.36824,0.85385,0.000548,0.000548,0.000548
24,2617.23,1.83923,1.11965,0.83988,0.78844,0.67857,0.68962,0.29835,2.19787,1.32127,0.85856,0.000482,0.000482,0.000482
25,2722.5,1.94756,1.08088,0.85081,0.77601,0.74263,0.76445,0.3088,2.15025,1.20643,0.85519,0.000416,0.000416,0.000416
26,2828.12,1.8637,1.07009,0.86222,0.77315,0.85217,0.80404,0.32703,2.04498,1.18546,0.84394,0.00035,0.00035,0.00035
27,2933.2,1.8035,1.07001,0.86778,0.76818,0.85714,0.81459,0.33542,2.03887,1.1862,0.84496,0.000284,0.000284,0.000284
28,3039.69,1.80265,1.03509,0.83284,0.76975,0.85714,0.83007,0.3305,2.05524,1.17888,0.84706,0.000218,0.000218,0.000218
29,3145.75,1.78449,0.99031,0.84531,0.79552,0.85714,0.82835,0.33381,2.08093,1.17983,0.85038,0.000152,0.000152,0.000152
30,3250.71,1.76938,0.98925,0.85891,0.76774,0.85714,0.82661,0.33158,2.10461,1.17837,0.85348,8.6e-05,8.6e-05,8.6e-05
